iter	Passed	Remaining
979	29619	604
980	29652	574
981	29688	544
982	29723	514
983	29748	483
984	29787	453
985	29818	423
986	29848	393
987	29880	362
988	29925	332
989	29953	302
990	29982	272
991	30018	242
992	30050	211
993	30083	181
994	30117	151
995	30148	121
996	30176	90
997	30212	60
998	30247	30
999	30280	0
